cat|cats
dog|dogs
car|cars
book|books
tree|trees
house|houses
lamp|lamps
bird|birds
chair|chairs
desk|desks
phone|phones
cake|cakes
girl|girls
boy|boys
hat|hats
cup|cups
bed|beds
map|maps
pen|pens
bag|bags
arm|arms
leg|legs
ear|ears
eye|eyes
lip|lips
nut|nuts
pin|pins
rod|rods
van|vans
jar|jars
fan|fans
rat|rats
box|boxes
bus|buses
fox|foxes
dish|dishes
wish|wishes
watch|watches
match|matches
class|classes
kiss|kisses
buzz|buzzes
church|churches
beach|beaches
bench|benches
brush|brushes
crash|crashes
patch|patches
lunch|lunches
peach|peaches
tax|taxes
mix|mixes
baby|babies
city|cities
body|bodies
lady|ladies
army|armies
story|stories
party|parties
copy|copies
duty|duties
fury|furies
penny|pennies
berry|berries
fly|flies
sky|skies
spy|spies
dry|dries
day|days
key|keys
boy|boys
toy|toys
ray|rays
way|ways
joy|joys
bay|bays
knife|knives
wife|wives
life|lives
leaf|leaves
wolf|wolves
half|halves
shelf|shelves
calf|calves
loaf|loaves
thief|thieves
self|selves
elf|elves
man|men
woman|women
child|children
foot|feet
tooth|teeth
goose|geese
mouse|mice
ox|oxen
fish|fish
sheep|sheep
deer|deer
moose|moose
